Winner,Moves,Time
1,14,2.210216449
1,14,1.538470190
1,14,3.417144375
1,18,3.067087298
1,12,1.324916024
1,34,3.193619753
1,12,2.378159854
1,8,1.087135982
1,18,2.213765958
1,20,2.454449052
